diagnosis | icd,count
"Diabetes mellitus Typ II, diätetisch eingestellt | E11.90",1
Abdomenschmerzen | R10.4,1
Steißbeinschmerzen | M53.3,1
Rezidivierende Lumbalgien | M54.86,1
Rückenschmerzen | M54.90,1
Komplexes regionales Schmerzsyndrom Typ I der unteren Extremität | G90.51,1
Komplexes regionales Schmerzsyndrom Typ I der oberen Extremität | G90.50,1
Spina bifida occulta | Q76.0,1
Idiopathische Verlängerung der QT-Zeit (V.a. Romano-Ward-Syndrom) | I49.9,1
"Kiefergelenkschmerzen bds., Z.n. Kiefergelenkarthroplastik 2012 | K07.6",1
Knieschmerzen bds. | M16.9,1
Polyneuropathie der Füße | G62.9,1
"KHK, Z.n. PTCA, 2xDES in LAD 2018 | I25.9",1
OSAS | G47.31,1
V.a. Burning-Mouth-Syndrom | K14.6,1
CMD | K07.6,1
Ganzkörperschmerzen | M70.90,1
Obstipation | K59.09,1
Exokrine Pankreasinsuffizienz | K86.8,1
Heberden-Knoten mit Arthropathie bds. | M15.1,1
Belastungsdyspnoe | R06.0,1
Psoriasiforme Dermatitis | L30.9,1
"Lymph- und Lipödem der unteren Extremitäten, Stadium II I89.0, | E88.21",1
Seborrhoisches Ekzem | L21.8,1
Chronische Bronchitis | J42,1
Migräne mit Aura (gewöhnliche Migräne) | G43.0,1
Schulterschmerzen links | M75.2,1
Chron. Verdauungsbeschwerden | K29.5,1
Lipödem – Syndrom der Beine und Arme | R60.0,1
Ventrikuläre Extrasystolen | I49.3,1
Chronischen Kopfschmerzen | G44.2,1
"Hypothyreose, Z.n. totale Thyreoidektomie 2/2011 | E03.8",1
"POTS, posturales Tachykardiesyndrom | G90.09",1
Urticaria | L50.9,1
Fingerpolyarthrose bds. | M15.9,1
Fußsohleschmerzen | M79.67,1
Unklare Beinschmerzen bds. | M79.69,1
Hypothyreose – Z.n. Hemithyreoidektomie 1995 | E03.8,1
"Fibromyalgie, ED 01/2009 | M79.70",1
V.a. beginnende sensible Polyneuropathie | G62.9,1
Hypothyreose unter Substitution | E03.9,1
"Z.n. subretinaler Massenblutung, Netzhautinfarkt linkes Auge 04/2009 | H35.6",1
Nesselsucht seit 9/2020 | L50.9,1
Multiple Allergien | T78.4,1
Migräne mit Aura | G4,1
"Syndrom polyzystischer Ovarien, ED 10/2021 | E28.2",1
Endometriose [Z.n. Hysterektomie 2009] | N80.9,1
Monoklonale Gammopathie [vom IgGa-Lamda] | D42.7,1
Allergische Asthma bronchiale | J45.0,1
V.a. Primäres Parkinson-Syndrom mit deutlichen non | G20.11,1
Osteochondrose und Spondylose der HWS mit spinaler Enge HWK5/6. | M42.12,1
Osteochondrose der LWS | M42.16,1
Z.n. VZV-Infektion Schulter rechts 2016 | Z86.1,1
Neuropatische Beschwerden | G62.9,1
Neuralgie | M78.29,1
"Lip-Lymphödem der unteren Extremität, Stadium II (Typ Reithosen) | I89.04",1
Obstruktives Schlafapnoesyndrom (cPAP Maske seit 2018) | G47.3,1
Migräne mit und ohne Aura | G43.9,1
Sensible betonte Polyneuropathie mit small-fibre Beteiligung | G62.9,1
Koronare 3-Gefäßerkrankung | I25.9,1
pAVK Stadium I-II | I70.29,1
V.a. Polyneuropathie bei bekanntem Vitamin B12 Mangel | G62.9,1
Mittelohrtubenbelüftungstörung bds. | H69.8,1
Fibromyalgie Mehrere Lokalisationen | M79.70,1
Spinal(kanal)stenose Zervikalbereich | M48.02,1
"Spondylolisthesis Lumbalbereich L3-L5, Z.n. Fixateur interne 2005 | M43.16",1
BWS-Syndrom mit Myogelosen | M54.6,1
intrinsisches Asthma bronchiale | J45.1,1
Sonstige Hypothyreose | E03.8,1
Zervikothorakales Schmerzsyndrom mit muskulären Verspannungen | M54.93,1
V.a. atypisches Parkinson-Syndrom | G21.8,1
Chronische LWS-Beschwerden bei Facetengelenksarthrose | M54.86,1
Axiale Sacroileitis | M46.1,1
"Klarzelliges Nierenkarzinom rechts, ED 10/2021 | C64",1
Obstipation | K58.2,1
"Erschöpfung, Antriebslosigkeit | T73.3",1
Chronische Schmerzen im linken Unterbauch | R10.4,1
Divertikelkrankheit | K57.30,1
"Helicobacter pylori positive Gastritis K29.7, | B98.0",1
V.a. chronische Glomerulonephritis/DD Amyloidose/ | N03.9,1
"großen, unselektive glomerulärer Proteinurie | N39.1",1
mit Hypalbuminämie | E88.0,1
"MGUS-IgG-Kappa, ED 02/2021 | D47.2",1
Z.n. Bursitis trochanterica re. Hüfte | M77.9,1
"Asthma bronchiale, ED 2017 | J45.9",1
Prämenstruelles Syndrom | N94.3,1
Z.n. Enzephalitis ohne Erregernachweis 07/2018 | G04.9,1
Arzneimittel induzierte Polyneuropathie nach Chemotherapie | G62.20,1
"PST (EC, Paclitaxel/Carboplatin), BET u. SLNE re. 09/2020 | C50.4",1
Symptomatische fokale strukturelle Epilepsie | G40.2,1
Cerebrale Mikroangiopathie | I67.9,1
Psoriasis vulgaris mit exudativer Komponente | L40.0,1
"Axiale Spondylarthritis mit peripherer Beteiligung, EM Anfang 1994/95 | M45.09",1
V.a. benignes Myalgie-Faszikulationssyndrom | M79.1,1
Postlaminektomie-Syndrom | M96.1,1
"Skoliose und Spondylarthrose LWK5/SWK S1 M47.9, | M41.9",1
Hashimoto-Thyreoiditis mit Hypothyreose | E06.3,1
"Chronische Polyarthritis, ACPA positive | M06.90",1
Periarthropathia humeroscapularis bds. | M75.0,1
Einzelne symptomatische atriale und ventrikuläre Extrasystolen | I49.4,1
des langsamen AV-Knoten Leitungswegs am 15.06.2022. | I47.1,1
Exokrine Pankreasinsuffizienz | K90.3,1
Fußekzem | L30.9,1
Hypothyreose bei Z.n. Teilthyreoidektomie | E03.8,1
"Rheumatoide Arthritis, RF und ACPA positiv, ED 1990 | M05.80",1
Doppelbogige Thorakolumbalskoliose | M41.99,1
Erschöpfung durch übermäßige Anstrengung | T73.3,1
"Asthma bronchiale, cough variant, stressbedingtes Asthma | J45.9",1
Polyarthritis | M13.90,1
"Diffuse myofasziale Beschwerden, Muskuläre Dysbalancen | M79.10",1
Hypomobilität der BWS und HWS | M99.01,1
"Kreuzschmerz, ISG-Syndrom | M54.5",1
Chron. neuropathischer Schmerz im Ausbreitungsgebiet des N. rad. superf. links | G56.9,1
Restless legs Syndrom | G25.8,1
ISG-Syndrom links | M54.88,1
Epicondylitis radialis humeri rechts | M77.1,1
Z.n. punktuellem kortikalen Infarkten rechtshirnig 6/2020 | I63.9,1
Chronische Migräne mit und ohne Aura | G43.3,1
Allergisches Asthma | J45.0,1
mit rezidivierenden Synkopen | I95.1,1
Beginnende venöse Insuffizienz | I87.20,1
Multilokuläres myofasziales Schmerzsyndrom | M79.10,1
Koxarthrose | M16.9,1
"Chronische Nierenkrankheit, Stadium III | N18.3",1
Divertikulose | K57.91,1
Chronische Cervicobrachialgie und –Cephalgie | M53.0,1
Chronisch rezidivierende Lumboischialgie | M54.4,1
mit konsekutiver Operation und Radio-Chemotherapie | C50.9,1
BWS-Syndrom bei Skoliose | M41.94,1
Lumboischialgie rechts bei Osteochondrose | M42.96,1
Zervikobrachialgie bds. rechtsbetont bei Osteochondrose | M53.1,1
Gonarthrose links | M17.1,1
"Palpitationen, Z. n. supraventrikulärer Tachykardie | R00.2",1
Obstruktive Schlafapnoesyndrom | G47.31,1
Rheumatoide Arthritis in Prodromalphase (ED 2021) (Anti-CCP pos.) | M06.99,1
Zerebrale Mikroangiopathie mit Beteiligung des Hirnstamms | I67.89,1
Störung von Gang und Mobilität mit erhöhter Sturzneigung | R26.89,1
"V.a. essentieller Tremor, ED 05/2024 | G25.0",1
PTCA/Stenting 1x DES mediale LAD 19.01.2023 | I25.9,1
Arterielle Hypetonie | I10.90,1
Strumpfförmige Hypästhesie und Parästhesien | R20.1,1
Sensible Ataxie | R26.8,1
Polytope Schmerzen | M79.70,1
Hyperhidrosis | R61.9,1
Mundtrockenheit | R68.2,1
Synovitis und Tendosynovitis bds. | M65.99,1
Chronische Pansinusitis | J32.9,1
Tinnitus links | H93.1,1
neuropathischem Schmerzsyndrom der Füße bds. | G62.9,1
Muskelschmerzen der oberen Extremitäten | M79.19,1
rezidivierenden Pyelonephritiden 12/2011. | Z90.5,1
Myofasziales Schmerzsyndrom im Schulter-Nackenbereich | M79.19,1
Schmerzen im linken Arm | M79.69,1
Hypothyreose bei | E03.9,1
Leichtgradiges obstruktives Schlafapnoesyndrom | G47.31,1
Chronisch inflammatorisch demyelinisierende Polyneuropathie (CIDP) | G61.8,1
Gemischtförmiges Asthma bronchiale | J48.8,1
"(Geruchverlust, Gedächtnisstörungen) | U08.9",1
Primärer Hyperaldosteronismus | E26.0,1
Sonstige abnorme Hörempfindungen | H93.2,1
Lymphödem | I89.0,1
"Z.n. Mamma CA li. 2020, mit konsek. Operation und Radio-Chemotherapie | C50.2",1
Achillessehnenschmerzen | M76.6,1
Knieschmerzen | G17.0,1
Fußschmerzen | M79.67,1
Hypothyreose bei Z.n. Schilddrüsenresektion 1996 | E03.9,1
Chron. atypische Gesichtsschmerzen rechtsseitig | G50.1,1
"BWS/LWS-Syndrom bei alten, osteoporotischen LWK 1,3 und 4 Frakturen M54.85, | M80.88",1
Wechseljahresbeschwerden | N95.1,1
"Gonarthrose bds., rechts mehr als links | M17.9",1
"Steatosis hepatis, ED 10/2014 | K76.0",1
Chronisches degeneratives HWS-Syndrom | M54.82,1
"Morbus Crohn, ED 2017 | K50.1",1
Extremitäten links > rechts | M79.69,1
bei BSV L4/5 links mit Wurzelkompression L5 | M54.4,1
Small-fiber-Neuropathie | G60.8,1
Allergisches Asthma bronchiale | J45.9,1
"Dorsalgien der HWS-, BWS und LWS | M54.80",1
Chronische Migräne mit Aura | G43.1,1
Rezidivierendes HWS-Syndrom mit Zervikobrachialgien | M53.1,1
Z.n. Enzephalitis unklarer Genese 07/2022 | G04.9,1
"Obstruktive Schlafapnoe Syndrom, CPAP-Therapie | G47.31",1
Mykoplamen 01/2022 | J18.9,1
"Neuralgie und Neuritis, nicht näher bezeichnete Lokalisation | M79.29",1
Mononeuritis multiplex | G58.7,1
Unwohlsein und Ermüdung | R53,1
"Unter- und Oberschenkelschmerzen re. M79.65, | M79.66",1
Z.n. Borreliose 8/2017 | A69.2,1
"(Doxetacetal, Cyclophosphamid) | G62.20",1
Z.n. Resektion eines invasiv lobulären Mamma-CA rechts 06/2013 | C50.4,1
"Koronare 1-Gefäß-Erkrankung, Z.n. DES-PCI des RIVA 07/2012 | I25.9",1
Trigeminusneuralgie V3 rechts | G50.0,1
Autoimmunpankreatitis | E86.1,1
LWS-/ISG-Beschwerden | M54.87,1
"Medialdeviation D2-4 bds., rechts mit Bildung einer Krallenzehe D2 | M21.68",1
Z. n. Bandscheibenvorfall-OP L4/L5 2011 | M54.96,1
"Pruritis Vulvae, rez. Hautrötung | L29.2",1
"Symmetrische Polyarthritis, ED 2015 | M06.00",1
Hüfteschmerzen links | M16.9,1
Psoriasis Arthritis | M07.39,1
Chronisches WS-Syndrom | M54.80,1
Chronische Niereninsuffizienz Stadium III | N18.3,1
Obstruktives Schlafapnoesyndrom mit CPAP-Therapie | G47.39,1
"Z.n. Mamma-Ca links, ED 03/2022 | C50.9",1
"Sensibilitätsstörungen, Missempfindungen der Haut | R20.8",1
Chronische Pansinusitis mit Anosmie | J32.4,1
"Polyposis nasi, Z. n. zweimaliger Polypektomie (1996/2003) | J33.9",1
Chron. Pakreatitis | K86.1,1
"KHK, Z.n. Stentimplantation im 03/2022 | I25.9",1
"Polyneuropathie, EM 2018 | G62.9",1
Fußbeschwerden bds. | M79.67,1
Nackenschmerzen | M54.82,1
Rückenschmerzen Sakral- und Sakrokokzygealbereich | M54.88,1
Mehrfache Nahrungsmittelunverträglichkeiten | T78.1,1
Chronische Lumbalgie bei Z. n. Bandscheiben-OP L4/L5 | M51.3,1
hochgradig eingeschränkter LV-Pumpfunktion (EF 25-30%) 11/2019 | I50.13,1
"INLEXA 3 HF-T QP, (Biotronik) 12/2019 | Z95.0",1
Retsless-Legs Syndrom | G25.81,1
Chron. Sakroischialgie | M54.5,1
Chron. Schmerz im Bereich des Trochant. major re. | R52.2,1
Chron. Schulterschmerzen re. | M25.51,1
Chronisches Schmerzsyndrom im Bereich der Vulva und Leiste rechts bei | N90.9,1
Myofsziales Schmerzsyndrom | M25.90,1
Oberschenkelschmerzen bds. | M79.65,1
Uncharakteristische Muskelschmerzen | M79.19,1
"Periphere Spondylarthritis, HLA B27 negativ | M45.09",1
Spannungs-Cephalgien | G44.2,1
Z.n. OP eines Tarsaltunnelsyndroms links am 24.06.2022 mit persistierenden Hyposensibilität. | G57.5,1
"Lipödem Typ II, Stadium I | E88.20",1
bei Carcinom (April 2015) | K91.1,1
Sonstige intestinale Malabsorption | K90.8,1
anfallsweise auftretender Schmerz unter dem linken Rippenbogen | K59.8,1
Rückenschmerzen mehrere Lokalisationen der Wirbelsäule | M54.90,1
Zervikocephales Syndrom | M54.82,1
Migräne | G44.2,1
Trigeminusneuropathie V1 bis V3 links | G50.0,1
DD anhaltende idiopatischer Gesichtsschmerz | G50.1,1
Rezidivierende Lumboischialgien li. | M54.4,1
Chronische Zervikobrachialgie links | M53.1,1
Omalgie beiderseits | M25.51,1
Impingement Syndrom der Schulter re. | M75.4,1
Achillodynie | M76.6,1
LWS-Schmerzen | M54.16,1
Beinschmerzen links | M79.69,1
Rezidivierende Herpeskeratis links | H18.9,1
"Glaukom, sekundär links | H40.9",1
Lumboischialgien | M54.4,1
rechts | M54.86,1
des rechten Beins > rechten Arms | G83.9,1
Prurigo simplex | L28.2,1
Thoraxwandsyndrom links nach Rippenfraktur | R07.3,1
"Psoriasis Arthritis, ED 10/2014 | L40.5",1
Psoriasis der Haut seit mehreren Jahren | L40.9,1
bekannter Endometriose und Verwachsungsbauch | R10.1,1
Slow-transit-constipation | K59.9,1
Rektale Entleerungsstörung mit paradoxem Pressen | K59.01,1
intraspinaler Kompression Würzel L5 re u.Bedräng L4 re | M51.2,1
Gonalgie re > li | M25.56,1
Rezidivierendes HWS-Syndrom mit Cervicobrachialgien | M54.12,1
Sensomotorische axonale Polyneuropathie mit sensibler Ataxie | G62.9,1
Schulterschmerzen | M25.51,1
Handgelenk Schmerzen links | M25.53,1
Hereditäre Hämochromatose | E83.1,1
Slow-transit-constipation | K59.01,1
Rektale Entleerungsstörung mit paradoxem Pressen | K59.9,1
Pemphigus vulgaris | L10.0,1
Lichen ruber planus oralis | L43.9,1
Hypothyreose nach Strumektomie | E03.8,1
Polymyalgia rheumatika | M53.3,1
Epikondylitis humeri radialis bds. | M77.1,1
"Seronegative rheumatoide Arthritis, ED 2016 | M05.80",1
"Colitis ulcerosa, ED | K51.9",1
"Rheumatoide Arthritis, RF und ACPA positiv, ED 4/2017 | M05.80",1
Schmerzen in den Armen und Beinen | M79.70,1
Hypothyreose bei Z. n. Thyreoidektomie (2009) | E03.9,1
Chronische Epicondylitis humeri radialis bds. | M77.0,1
Chronische Epicondylitis humeri ulnaris bds. | M77.1,1
"Gonarthrose, beidseitig | M17.0",1
Beinschmerzen unklarer Ursache | M79.69,1
Multifaktorielle Gangstörung | R26.8,1
Vorhofflimmern | I48.9,1
WS-Syndrom | M84.90,1
Trigeminusneuralgie des 2. Astes links | G50.0,1
Migräne | G47.0,1
Varusgonarthrose links | M17.1,1
Z.n. Knie TEP links 03/2022 | Z96.65,1
Adipositas Grad III | E66.86,1
Endometriose mit multiplen operativen Eingriffen | N80.9,1
"Lipödem beider Beine, Stadium II | E88.20",1
Vorwiegend allergisches Asthma bronchiale | J45.09,1
Chronische spontane Urticaria mit Angioödem (Gesicht) | L50.8,1
Psoriasis | L40.0,1
Chronische (komplizierte) Migräne | G43.3,1
Refluxösophagitis LA Grad B | K21.0,1
Z.n. Polytraumas am 30.05.2019 | T07,1
Chronische Ein- und Durchschlafstörungen | G47.0,1
Chronischer Tinnitus aurium | H93.1,1
HWS-Syndrom mit Z.n. Commotio cerebri 2/2020 | M54.2,1
Erythromelalgie Füße | I73.8,1
"Rheumatoide Arthritis, ED 2019 | M06.00",1
linkskonvex lumbal 65° | M41.99,1
Knieschmerzen links | F17.9,1
Chronische-obstruktive Bronchitis | J44.9,1
Neuropathie mit Neigung zu Druckparesen | G60.8,1
Vorbekannter Linksschenkelblock | I44.7,1
Myalgien | M79.19,1
Ganzkörperschmerzen und Missempfindungen mit | M79.70,1
"Sonstige Overlap-Syndrome (R-Arthritis, Sjögren-S-. Arthritis psoriatica) | M35.1",1
Schulter-Nacken-Syndrom | M62.81,1
ISG-Syndrom | Z98.1,1
Lipödem- Syndrom bds. | R60.9,1
"Seropositive rheumatoide Arthritis, ED 10/2018 | M06.90",1
Gastrointestinale Beschwerden | K30,1
Muskelschwäche | M62.9,1
Allergische Rhinokonjunktivitis | H10.9,1
Hyperlipidämie | E78.2,1
Z.n. Hüft-TEP links 04.12.2019 | Z96.64,1
Gelenk- und Gliedeschmerzen. | M79.70,1
Sicca-Syndrom mit rez. Keratokonjunktivitis sicca | H04.1,1
Rezidivierendes HWS-Syndrom mit Cervicobrachialgien | M53.1,1
Oberbauchschmerzen | R10.4,1
unklarer Ätiologie | G62.9,1
"Schmerzen in den Extremitäten, Knöcheln und Füßen | M79.67",1
Chronische Schmerzkrankheit | R52.2,1
bei Neuropathie der Akren | G60.9,1
bei Multipler Sklerose mit schubförmig inkomplett Reversiblem Verlauf | G35.10,1
und chronischem Müdigkeitssyndrom | G93.3,1
Osteoporose | M81.09,1
Biliäre Zirrhose | K74.3,1
"Colitis ulcerosa, ED 4/2021 | K51.9",1
Chronisches Müdigkeitssyndrom | G73.3,1
bioptisch gesichert 03/2019 | G62.9,1
Migräne mit Aura | G43.0,1
Chronisches HWS-LWS-Syndrom | M54.80,1
Facettensyndrom links LWK 3/4 und LWK 5 | M54.5,1
Damensattelgelenksarthrose bds. | M18.9,1
"Erosive, CCP-AK positive rheumatoide Arthritis, EM 10/2016, ED 12/2016 | M05.80",1
Schulter-Arm-Syndrom | M53.1,1
Z.n. fünfmaliger LWS-OP mit zuletzt Laminektomie 1985 und | Z98.8,1
in Kombination mit klinisch fassbarer Rechtskonvexer-Skoliose und | M41.99,1
Z.n. Deckplattenimpfessionsfraktur LWK1 1/2023 | T08.9,1
Rippenschmerzen bei Z.n. Rippenfraktur rechts T4 bis 7 mit ausgeprägt. | R07.3,1
Omarthrose | M19.91,1
Hypothyreose bei Z.n. Schilddrüsen-OP 1978 | E03.9,1
Sturzneigung | R29.6,1
Spannungskopfscherzen | G44.2,1
"Rheumatoide Arthritis, RF und ACPA positiv, ED 12/2016 | M05.80",1
Reizdarm-Syndrom | K58.3,1
Chronische Bauchschmerzen | R10.4,1
Post-Zoster-Neuralgie nach G53.0 + | B02.2,1
Ganzkörperschmerzen | M79.10,1
"Seropositive Rheumatoide Arthritis, ED 02/2003 | M06.99",1
Koronare 3-Gefäßerkrankungen | I25.9,1
"Asthma bronchiale, gemischtförmig | J45.8",1
"Osteoprose, ED 2003 | M80.98",1
Systemische Sklerose | M34.9,1
Sklerodaktylie | L94.3,1
Hypotonie | I95.9,1
Z. n. Bösartige Neubildung: Brustdrüse links | C50.9,1
Rez. Cervicocephalobrachialgien | M43.16,1
Rez. Gonalgien links | M25.56,1
Hüftbeschwerden rechtsbetont bei Dysplasiecoxarthrose | M16.1,1
Chron. Zervikobrachialgien | M53.1,1
"Sinusrhythmus, NOAK mit Xarelto | I48.9",1
Chronische Schmerzen in der Blase und massiver Harndrang | N32.9,1
LWS-Syndrom | M56.2,1
Osteoporose | M82.19,1
"Z.n. Mamma-Ca., OP 09/2017 | M50.0",1
Seropositive rheumatische Polyarthritis | M05.99,1
Fibromyalgie-Syndrom | M79.90,1
CPPD-Arthritis (Pseudogicht) mit Chondrocalcinose. ED 12/2020 | M11.29,1
bisher diagnostiziertes pathologisch-anatomisches Korrelat | M79.29,1
Degeneratives HWS-LWS-Syndrom | M54.80,1
Mediale und retropatellare Gonarthrose bds | M17.9,1
Hüftenschmerzen rechts | M79.65,1
Trigeminus Neuralgie rechts | G50.0,1
"Post-Herpes-Neuralgie, Z. n. Herpes Zoster L2/3 rechts9/2020 B02.2, | G53.0",1
degenerativen Veränderungen und Spinalkanalstenose L3 L5 | M54.86,1
Achillodynie rechts | M76.6,1
Allergisch-eosinophiles Asthma bronchiale | J45.05,1
Dyshidrotisches Handekzem bei V.a. Atopie | L30.1,1
ß-Thalassämie | D56.9,1
Muskelschmerzen | M79.19,1
Beta Thalassämie | D56.9,1
sekundärer Spinalkanalstenose LWK4/5 | M54.4,1
diagnostiziertes pathologisch-anatomischer Korrelat | M79.29,1
Degen. HWS-LWS-Syndrom | M54.80,1
Zervikobrachialgie links | M53.1,1
Sprunggelenkschmerzen links | M25.57,1
Knieschmerzen li | M25.56,1
Chronische Migräne ohne Aura | G43.8,1
"Obstruktives Schlafapnoe-Syndrom, ED 9/2022 | G47.31",1
Hahimoto Thyreoiditis | E06.3,1
Hyperhomocysteinämie | E72.1,1
"Wirbelgelenksarthrosen, besonders L 4/5 | M54.96",1
Hypogammaglobulinämie für IgG mit IgG-Subklassenmangel | D80.1,1
Posttraumatische Schmerzen im Sacrococczygealbereich | M54.98,1
"Trigeminusneuralgie V2, V3 links | G50.0",1
Glaukom | H40.9,1
"V.a. Tendinitis tibialis posterior, beidseitig | M76.8",1
"Senk-Spreizfuß, beidseitig | Q66.8",1
V.a. Cranio-mandibuläre Dysfunktion | K07.6,1
"Lupus erythematodes (systemisch), ED 2002 | L93.0",1
mit nachfolgender Facialisparese li. | G51.0,1
"Systemische Sklerose, ED 6/2021 | M34.9",1
Zervikale Dystonie | G24.3,1
Atopisches Ekzem | L20.8,1
Überaktive Harnblase | N32.8,1
Colitis Ulcerosa seit 40 Jahren | K51.9,1
Thalamus-Syndrom bei | G93.88,1
Z. n. Mediainfarkt rechts 10/2012 bei angeborenem Herz-klappenfehler | I69.4,1
"Gonarthrose rechts, Knie-TEP linksseitig 2016 | M17.9",1
Z.n. PTCA mit Stentimplantation 2016 | I25.9,1
HWS | M54.82,1
Dorsalgien im LWS-Bereich bei Skoliose | M54.86,1
Bronchiale Hyperreagibilität mit Reizhusten | J45.9,1
Sodbrennen | R12,1
Knieschmerzen link | M25.56,1
Psoriasisformes Ekzem | L30.9,1
des Bindegewebes | M35.8,1
„Knochenschmerzen“ | R52.2,1
Z.n. Apoplex 2010 ohne signifikante Ausfälle | I63.9,1
"COPD Gold I, Z.n. Nikotinkonsum (ca. 25 PY) | J44.99",1
Obstruktives Schlafapnoesyndrom mit cPAP-Therapie | G47.31,1
Adipositas Grad II | E66.09,1
Epikondilitis humeri radialis bds. | M77.1,1
"Rheumatoide Arthritis, ED 2008 | M05.80",1
"Hashimoto-Thyreoiditis, ED 2009 | E06.3",1
Trigeminus Neuralgie | G50.9,1
Wegener-Granulomatose (ED 1996) mit Glomerulonephritis | M31.3,1
Chronische Polyarthritis bei M. Wegener | M06.99,1
Gonarthrose rechts | M17.1,1
Small Fibre Polyneuropathie | G62.9,1
Sekundäres Restless-Legs-Syndrom | G25.81,1
"Undifferenzierte Kollagenose, ANA positiv, ENA negativ | M35.8",1
Reizdarmsyndrom | K59,1
Polytope muskuloskeletale und Weichteilschmerzen | M79.70,1
Neurogene Schmerzen der unteren Extremitäten nach Myelopathie | M79.6,1
Arthrofibrose re. Kniegelenk bei Z.n. TEP mit Folge OPs | M25.56,1
"Multilokuläre Schmerzen (unter. Rücken, Hände, Schultern) bei Überlastung | R52.2",1
"Z.n. Mamma CA li. 6/2019, mit konsek. Operation und Radio-Chemother. | C50.2",1
Reizdarmsyndrom | K59.1,1
Myofasziales Schmerzsyndrom | M25.90,1
Wechseljahrsbeschwerden | N95.5,1
Belastungsinkontinenz | N39.3,1
Bullöses Pemphigoid | L43.1,1
Hypertropher Lichen ruber an Unterschenkel bds. | L43.0,1
Ösophaguskarzinom 2010 | C15.9,1
"COPD GOLD 2, Gruppe B | J44.99",1
Zervikocephales | G44.2,1
"Morbus Meniére rechts, ED 06/2021 | H81.10",1
Mittel- bis hochgradige Schallempfindungsschwerhörigkeit links | H90.9,1
Persistierender postural-perzeptiver Schwindel | R42,1
Superfizielle u. tiefe perivaskuläre Lymphozytäre Dermatitis | L30.8,1
Migraine mit Aura | G43.3,1
Z.n. Hemilaminektomie L5/S1 re 1/2000 | M51.2,1
Z.n. Cage C5/C6 und C6/C7 1/2011 | Z98.8,1
Gesicherte Lockerung Tibiaplateau | T84.9,1
Polneuropathie | M06.9,1
Psoriasis Arthritis | L50.8,1
Systemischer Lupus erythematodes | M32.9,1
Intervention 06/2020 mit Implantation von 2 DES. | I25.11,1
Kardiomyopathie unklarer Ursache mit EF 35-45 % | I42.9,1
"Koronare Dreigefäßerkrankung mit mittelgradigen Stenosen, HKU 5/2022 | I25.9",1
Hyperlipoproteinämie | E78.9,1
"AA bei Vorhofflimmern, ED 4/14 | I48.9",1
Diabetes mellitus Typ 2 | E11.80,1
"Fazialer Hemispasmus links, EM 2017 | G51.3",1
Zervikobrachialgien bds. | M53.1,1
Axonale sensomotorische Polyneuropathie | G62.9,1
Lumbalsyndrom bei Spinalkanalstenose auf Höhe LWK 3/4 und 4/5 | M54.86,1
Knieschmerzen links | M25.51,1
Polyneuropathie der Beine bds. mit Fußhebeparese rechts | G60.8,1
Schmerzen in beiden Händen | M79.64,1
Schulterschmerzen bds. | M54.6,1
Zervikozephalessyndrom mit Funktionseinschränkung der HWS bei | M53.0,1
- NPP C5/6 mit Foramenstenose C6 rechts | M51.2,1
Impingement-Syndrom der rechten Schulter bei | M75.1,1
V.a. ACG-Arthrose rechts | M19.0,1
genito-femoralis und des N. ilioinquinalis liknks. | R52,1
Knie schmerzen bds. bei Z.n. mehrfachen Knie-ASK bds. | M25.56,1
V.a. psoriasis Arthritis | L50.9,1
diastolischer Dysfunktion | I11.00,1
Koronarsklerose ohne signifikante Stenosen | I25.9,1
Tinnitus aurium links | H33.1,1
Chronische-degeneratives WS-Syndrom | M54.82,1
- schwergradiger armbetonter spastischer Hemiparese links | G81.1,1
- homonymer Hemianopsie und Rest-Neglect nach links | H53.4,1
- Dysarthrie | R47.1,1
Carotis-Artriosklerose ohne hämodynamische Störung | I65.2,1
"Diabetes mellitus, Typ 2 mit Nierenkomplikationen | E11.20",1
Vitamin D3-Mangel | E55.9,1
Vitamin B12-Mangel | E53.8,1
Kopfschmerzen | R5,1
Reizmagen | K58.8,1
Daumensattelgelenksschmerzen links | M25.54,1
Gesichtsschmerzen bds. | G50.1,1
Z. n. Osteolyse-OPs im Bereich Unter- und Oberkiefer | M89.58,1
Knieschmerzen rechtsbetont | M25.56,1
Schnellender Mittel- und Zeigefinger rechts | M65.3,1
Lactoseunverträglichkeit | E73.0,1
"Seropositive chronische Polyarthritis, ED 1996 | M06.99",1
Hüftschmerzen rechts | M25.55,1
Schulterschmerzen rechts | M25.61,1
Handgelenkschmerzen bds. | M25.64,1
Z.n. mehrfacher Lungenembolie 2013 bis 2020 | I26.9,1
"Protein S-Mangel, ED 06/2014 | D68.5",1
Orale Antikoagulation mit Edoxaban | Z92.1,1
"Hörsturz rechts, EM 06/2023 | H91.2",1
"Tinnitus aurium rechts, EM 06/2023 | H93.1",1
"Persistierendes Vorhofflimmern, Antikoagulation mit Edoxaban | I48.2",1
Eingefäß-KHK | I25.9,1
HWS-LWS-Syndrom | M54.80,1
Z.n. schwindelbedingten Sturzes im Rahmen eines neuen | I48.0,1
Z.n. Sturz vom Baum am 04.03.2025 mit | T07,1
"Multiple Sklerose, ED 2000 | G35.30",1
Rektusdiastase | M62.08,1
Knieschmerzen rechts | M76.5,1
"Morbus Meniére rechts, ED 8/2023 | H81.0",1
Gicht | M10.09,1
Multilokuläre Muskelschmerzen | M79.10,1
