diagnosis | icd,count
Rezidivierende Zystitiden | N30.9,2
COPD | J44.99,2
Sjögren-Syndrom (Sicca-Syndrom) | M35.0,2
M. Bechterew | M45.09,2
Rizarthrose bds. | M18.9,2
"Polyneuropathie, nicht näher bezeichnet | G62.9",2
Chronische Rückenschmerzen | M54.99,2
DM Typ 2 | E11.99,2
Z.n. rechtszerebraler Ischämie 2002 | I63.9,2
Reizdarmsyndrom | K59.8,2
Paroxysmales Vorhofflimmern | I48.9,2
Hypothyreose bei Z. n. Strumektomie 1994 | E03.8,2
Zervikocephales Syndrom | M54.92,2
Sensibilitätsstörungen an den Beinen unklare Genese DD funktionell | R20.8,2
Hüftschmerzen rechts | M16.9,2
Knieschmerzen | M17.9,2
Zöliakie | K90.0,2
Histaminintoleranz | T78.1,2
"Seropositive rheumatoide Arthritis, ED 12/2016 | M05.80",2
Chronic Fatique-Syndrom | G93.3,2
"Colitis ulcerosa mit Linksseitenbefall, ED 1991 | K51.9",2
Chronische exokrine Pankreasinsuffizienz | K86.83,2
Zervicobrachialgie | M53.1,2
Chronischer posttraumatischer Kopfschmerz | G44.3,2
Adipositas Grad I | E66.00,2
Zervikozephalessyndrom | M53.1,2
Coccygodynie | M54.89,2
Zervikobrachial-Syndrom nach Fusion C5-7 am 15.01.2009 | M53.1,2
"Spondylose mit Radikulopathie, mehrere Lokalisationen der WS | M47.20",2
Epicondylitis radialis humeri | M77.1,2
Impingement-Syndrom der Schulter | M75.4,2
Osteochondrose der LWS | M42.96,2
Polymyalgien | M62.89,2
MCS (Multiple Chemical Sensitivity) | T78.4,2
Benigne Prostatahyperplasie | N40,2
Blasenentleerungsstörung mit deutlicher Restharnbildung | R39.1,2
Gelenkschmerz Schultergelenk | M25.51,2
Koronarherzkrankheit-2-Gefäß-Erkrankung mit Stent | I25.12,2
Schulterschmerzen links | M25.50,2
Chronisches Müdigkeitssyndrom | G93.1,2
"Chronifizierende Polyneuropathie Hände, Füße, Körper, unklarer Genese | G62.9",2
Chronische obstruktive Bronchitis | J41.0,2
"Arthritis urica, ED 1988 | M10.09",2
Morbus Stargardt | H35.5,2
Schlafstörungen | F51.0,2
LWS/ISG-Syndrom | M54.80,2
Osteoporose | M81.0,2
V.a. Reizdarmsyndrom | K58.9,2
Chron. Oberbauchschmerzen | R10.1,2
HWS- und LWS-Syndrom | M54.80,2
Reizdarmsyndrom | K58.3,2
"Obstruktives Schlafapnoesyndrom, APAP-Therapie | G47.31",2
COPD [Chronic obstruktive pulmonal disease] | J44.99,2
Chronisch respiratorische Insuffizienz Typ I [hypoxisch] | J96.10,2
Gicht Arthritis | M10.09,2
Chronisch-degeneratives LWS-Syndrom | M54.86,2
Erschöpfungszustand | G93.3,2
Chron. Pansinusitis | J32.4,2
Therapieresistente Pollenallergie | T78.4,2
Reizdarmsyndrom | K5,2
Schmerzen im Schulter-/Gürtelbereich bds. | M79.61,2
Paroxysmales Vorhofflimmern (Antikoagulation mit Rivaroxaban) | I48.0,2
Erschöpfungssyndrom | G93.1,2
Chronisches Schmerzsyndrom | R52.1,2
Abdominelles Schmerzsyndrom | R10.3,2
Adipositas | E66.00,2
Arterielle Hypertonie | I10.9,1
Chronische Müdigkeit | G93.3,1
