diagnosis,count
craniomandibuläre dysfunktion rechts betont,1
"osteochondrose der wirbelsäule: lumbosakralbereich, prolaps l4/l5",1
lws-bws-syndrom,1
- z.n. nstemi mit ptca und des-implantation in rms 01/2013,1
dyslipidämie,1
bauchschmerzen bei z. n. perforierter appendizitis und ileus-op,1
intermittierende thoraxschmerzen,1
"- lupus nephritis (klasse iv und v, nierenbiopsie vom 07.06.2024)",1
neprotisches syndrom,1
genese ed 06/2021,1
ösophagusvarizen grad i bis ii 07/2021,1
portal-hypertensive gastropathie,1
v.a. short-segment-barett-‚ ösophagus 07/2021,1
ganzkörperschmerzen links,1
"chronische schmerzen, und taubheit distal us + fuß rechts, radikulär. l5",1
großzehen- und fußhebeparese rechtsbetont,1
harninkontinenz neurogen,1
"arthritis, nicht näher bezeichnet, an nicht näher bezeichneten",1
chronisches schmerzsyndrom des bewegungssystems,1
flankenschmerzen rechts,1
fußschmerzen link,1
klimakterisches syndrom (wechseljahresbeschwerden),1
"systemischer lupus erythematodes, ed 2007",1
spondylarthrose l3-s1,1
chondrose l5/s1,1
kopfschmerzsyndrom links,1
"z.n. mamma ca rechst, 01/2021",1
atypische trigeminusneuralgie rechts,1
muskelschmerzen in den beinen,1
handgelenkschmerzen links,1
hautparästhesien beide füße re. > li.,1
fingergelenksarthrosen bds.,1
schultergelenksarthrose bds. re. > li.,1
"seropositive ccp-positive rheumatoide arthritis, ed 1989",1
chronisches müdugkeitssyndrom,1
inzidenteller mrt-befund vom 07/2023,1
"paroxysmales vorhofflimmern, ed 11/2024,",1
- z. n. rotatorenmanschettenrekonstruktion rechts am 11.10.2021,1
"diabetes mellitus, typ 1, ed 01/1970 mit insulinpumpetherapie",1
im bereich der hand- und fußgrundgelenke sowie sonnengeflecht,1
spondylolyse und ventraler spondylolisthese lwk 5/swk 1,1
schmerzen im bereich der bws nach bwk-12-fraktur 2004,1
essenzieller tremor der hände,1
v. a. restless-legs-syndrom,1
zervikalsyndrom,1
pci mit des-stenting in acd 06/2021,1
nächtlichen muskelkrämpfen in den unteren extremitäten,1
anfallsweise auftretendes wärmegefühl mit schwitzen,1
zervikobrachial-syndrom links,1
zervikalneuralgie links,1
rez. schmerzen linke obere körperhälfte,1
schmerzen und bewegungseinschränkungen an der gesamten wirbelsäule,1
schmerzen in der linken mittelfinger,1
des rechten unterarms,1
pruritus am kopf,1
"colitis ulcerosa, ed 2021",1
chronisches schmerzsyndrom im kleinen becken mit harn- und partieller stuhlinkontinenz.,1
chronisches schmerzsyndrom im bereich der rechten hand bei rezidivierender dupuytren’scher kontraktur,1
schulter-arm-syndrom li.,1
hws-syndrom bei osteochondrose hwk5/6,1
hws-muskelverspannungen,1
beidseitige gluteale schmerzen,1
scherzen in den beinen,1
obstruktives schlafapnoe-syndrom mittleren schweregrades (ahi 20/h),1
magenentleerungsstörung,1
chronische übelkeit,1
paraösophageale hernie,1
"seroneg. anti-ccp-neg. rheumatoide arthritis, ed 07/2020",1
sekundäres fibromyalgiesyndrom,1
diabetes mellitus typ ii (insulinpflichtig),1
kniebeschwerden links,1
polyzythämia vera,1
bandscheibenvorfall l5/s1,1
"idiopathisches parkinson-syndrom vom tremordominanztyp, ed 2020",1
"polymyalgia rheumatica, ed 08/2006",1
fingerpolyarthrose vom heberden-typ,1
manifeste osteoporose bei z.n. pathologischer rippenfraktur,1
epicondylitis radialis humeri bds.,1
thoraxschmerzen,1
des bewegungsapparates,1
z.n. herzschrittmacherimplantation bei sick sinus syndrom 2009,1
arthralgie,1
skoliose,1
coxarthrose grad i,1
v.a. paroxysmaler lageschwindel,1
rezidivierende oberbauchschmerzen,1
"axiale spondylarthritis, ed 2020, em 2018",1
divertikulose und z.n. divertikulitis,1
chronische frontalsinusitis,1
"crowned-dens-syndrom, ed 11/2017",1
"allergisches asthma bronchiale, ed 06/2015",1
glutenunverträglichkeit,1
lymphödem oberen und unteren extremitäten,1
"colitis ulcerosa, ed 2007",1
"sjögren syndrom em 2017, ed 2022",1
progressive systemische sklerose,1
gelenkschmerz schultergelenk rechts,1
leichtgradige mitralklappeninsuffizienz,1
multiple allergien/ histaminintoleranz,1
hämorrhoiden 3. grades,1
chronisches myofasziales hws-bws-syndrom,1
okzipitalneuralgie,1
chronische urtikaria mit angioödem,1
mischformen der asthma bronchiale,1
chronisches mügigkeitssyndrom,1
eosinophiles asthma bronchiale,1
"sekundäre thrombophilie bei erhöhter faktor-viii-aktivität, dauerhafte antikoagulationstherapie mit xarelto® (rivaroxaban)",1
chronisches schmerzsyndrom mit beidseitigen unterschenkelschmerzen,1
"z.n. malignom, bronchien und lunge, z.n. op 2024",1
chronisches fatigue-syndrom (me/cfs),1
"crohn-krankheit, ed 2012",1
entzündlicher zustand der kiefer,1
"lipödem der oberen und unteren extremität, stadium ii",1
niereninsuffizienz stadium ckd g2-3a/a1 mit,1
glossopharyngeusneuralgie links,1
"multiple schmerzen nach verletzungen, zuletzt sturz auf den kopf 9/2019",1
"cidp mit paraprotein (mgus igg-kappa), ed 2018",1
ls wurzelaffektion,1
lumbosacraler spondylolisthese und aktiviertem facettenreizzustand,1
mit relativer spinalstenose,1
polyarthralgien und -myalgien,1
hyperkeratotisch- rhagadiformem hand- und fußekzem,1
multifokale motorische neuropathie unter immunglobulintherapie,1
hypothyreose nach thyreoidektomie,1
"colitis ulcerosa, ed 1994",1
pityriasis rubra pilaris,1
erniedrigte erytemschwelle im uvb-spektrum (erytem ab 33 mj/cm2),1
aortenaneurysma typ b,1
"morbus crohn, ed 1995",1
"psoriasis-arthropathie l40.5,",1
psoriasis pustulosa plantaris bds. und fußsohle links,1
rezidivierende myokarditiden,1
extrasystolie,1
"colitis ulcerosa, ed 03/2019",1
schmerzen im bereich des oberbauches,1
z. n. reizdarmsyndrom nach reisediarrhoe,1
"colitis ulcerosa, ed 1978",1
"koronare eingefäßerkrankung, z.n. nstemi mit pci und stent der lad 10/2005",1
unklare muskelschmerzen,1
zervikobrachial-syndrom bei z. n. bsv c5/6,1
knochennekrose des talus rechts,1
gelenkschmerz osg rechts,1
lws-syndrom bei bek. bsv l4/5,1
z.n. clostridien-enteritis 01/2022,1
chronische kopfschmerz und schwindelsymptomatik,1
neurofibromatose typ i,1
rückenschmerzen lumbalbereich,1
hörverlust,1
"distal symmetrische polyneuropathie, ed 2017",1
bipolare affektive störung,1
"morbus parkinson ed 2014, tremordominant",1
"hypopituitarismus, z.n. operativ. entfernung eines hypophysentumors 2011.",1
"colitis ulcerosa, ed 03/2020",1
impinngement syndrom schulter rechts,1
lumboischialgie links,1
bandscheibendegenerationen in den etagen l4/5 und l5/s1,1
schmerzen lateralen kniebereich li.,1
schlaf-apnoe,1
lumboischialgie s1 rechts bei bandscheibenvorfall l4/5 re.,1
zervicobrachialsyndrom rechts,1
"gemischte sensibel betonte polyneuropathie der beine, beiderseits",1
"diabetes mellitus, typ ii b, ed ca. 2000",1
substituirte hypothyreose nach strumektomie,1
paroxysmaler schwindel,1
prurigiformes/nummuläres ekzem,1
beinschmerzen,1
koronare-1-gefäß-erkrankunq (ef > 60%) mit,1
lnsulipflichtiger diabetes mellitus typ 2,1
"morbus crohn, ed 10/2011",1
mikrozytäre hypochrome anämie,1
intrazerebrale blutung rechts temporo-parietal 02/2012,1
spastische hemiparese links,1
"z.n. ptca/stenting (des) des riva, rcx 2014,2015",1
kniebeschwerden beidseits,1
"hypothyreose, z.n. hemithyreoidektomie links 8/2011",1
"4-fach stent-implantation, zuletzt 2014, gute lvf",1
oberschenkel-oberarmmuskelnschmerzen,1
seronegative chronische polyarthritis,1
"diabetes mellitus, typ 2, orale therapie",1
hüftschmerzen rechtbetont,1
hochgradigen stenose des riva med. und prox. 5/2020,1
"sigmadivertikulose, z.n. sigmadivertikulitis 06/2019",1
chronische schmerzen bei atypischem gesichtsschmerz,1
coxarthrose bds. bei hüftdysplasierechts,1
leistenschmerzen bds.,1
handgelenksarthrose bds.,1
karpaltunnetsyndrom bds.,1
"erosivem verlauf rf-/ccp-ak-/ana-positiv, hla-b27 negativ",1
hochgradige spinalkanalstenose l3/4,1
claudicatio radikularis,1
z.n. bandscheibenoperation lwk4/5 re.,1
fußheberparese rechts,1
autosomal dominanter polyzystischer nierenerkrankung,1
renale tubuläre acidose,1
hypomagnesiämie,1
hyperkaliämie,1
hyperphosphatämie,1
renale anämie,1
peritonealdialyse,1
chron. isg-reizsyndrom rechts,1
massive osteochondrose l5/s1,1
schlafapnoe syndrom mit cpap behandelt,1
polyneuropathie-syndrom der füße,1
xerostomie bei glandulärer atrophie gll. parotides bds.,1
hws-syndrom m54.82 lws-syndrom,1
occipitalis-minor-neuralgie links,1
neuroborreliose mit peripheres fazialisparese links,1
chronische lumbalgien,1
"sekundäre nebennierenrindeninsuffizienz, unklarer genese",1
unter schilddrüsenhormonsubstituion,1
bursitis trochanterica links,1
z.n. hüft tep amis 25.01.2018 rechts,1
syndrom der unruhigen beine (rls),1
urtikaria,1
morbus darier,1
"koronare 3-gefäßerkrankung, z.n. stent behandlung 8/2018",1
übermäßige schwitzen,1
dyspnoe bei belastung,1
stattgehabte covid-19-infektion 4/2021,1
bandscheibenvorfall lwk5/swk1,1
"kolonkarzinom, ed 5/2019",1
gemischtes schlafapnoe-syndrom,1
adipositas grad 2,1
"morbus meniére rechts, ed 2/2018",1
"schlafapnoesyndrom, ed 9/2013",1
chron. kalzifizierende pankreatitis,1
"colitis ulcerosa, ed 2010",1
psoriasisarthritis,1
gelenkschmerzen an mehreren lokalisationen,1
allerg. asthma bronchiale,1
mikroskopische lymphozytäre proktokolitis,1
anhaltende schmerzen im bereich der rechten gesichtshälfte bei,1
der rechten kieferhöhle 3/2012,1
z. n. mehreren op`s bei z. n. fersenbeinfraktur 1994,1
rosazea-artige akneiforme follikulitis,1
rezidivierenden pulpitiden,1
hüftenbeschwerden bds.,1
"migräne mit und ohne aura g43.1,",1
chron. spannungskopfschmerz,1
polyneuropathie mit gangataxie,1
cerebelläre atrophie,1
cerebrale microangiopathie,1
"polyserositis a. e. autoinflammatorischer genese, em 9/2015, ed 8/2017",1
intermittierende niereninsuffizienz stadium i nach kdigo,1
sensomotorische axonale polyneuropathie dd paraneoplastisch assoziert,1
cervicogener kopfschmerz,1
tinitus aurium links,1
"axonale-demyelinisierende polyneuropathie, ed 1995",1
subtotaler resektion links 7/2019,1
chronische lumboglutealgie sowie lumboischialgie rechtsseitig mit,1
chronische myofasziale schmerzen rechts bei,1
ellenbogenschmerzen rechts,1
khk mit z.n. 2-maliger stentimplantation (2005),1
chronische gonalgie rechts,1
schwindel und taumel,1
diabetes mellitus typ 1,1
vestibuläre migräne,1
pseudoradikuläres lumbales schmerzsyndrom links,1
schmerzen beider füße,1
"sensomotorische demyelisierende polyneuropathie, (ed 2010)",1
z.n. traumatischer schulterluxation links mit,1
"khk, z.n. stentimplantation im 2020",1
z.n. apoplex 2007 und 2016,1
bws-lws-syndrom,1
morbus ormond ed 03/2015,1
"khk, z.n. akuter vorderwandinfarkt, stent-ptca am 11.10.2018",1
chronische niereninsuffizienz stadium 2-3,1
hyperthyreose (unter thyreostatische therapie),1
impinngement syndrom schulter links,1
karpaltunelsyndrom li,1
lumboischialgie beidseits,1
"initial, nicht-invasives papilläres urothelkarzinom (pta, low-grade (g1)",1
z.n. polytrauma am 02.11.2011,1
posttraumatische belastungsstörung,1
chronische schmerzstörung mit somatischen und psychischen faktoren,1
"rezidivierende depressive störung, ggw. mittelgradige episode",1
"colitis ulcerosa, ed 2012",1
chronische niereninsuffizienz (std. ii),1
ganzkörperschmerz,1
chronisch degeneratives wirbelsäulensyndrom,1
hüftschmerzen bds.,1
"morbus crohn, ed 2015",1
pruritus,1
dorsalgie bei chronischem bws- und lws-syndrom,1
sensibilitätsstörung der oberen und unteren extremitäten,1
"obstruktives schlafapnoesyndrom, ed 2009",1
"z.n. rektum-karzinom, ed 2000 und rezidiv 2007",1
polyneropathie,1
"lambda, ed 10/11",1
bandscheibenvorfall l5/s1 rechts mit sensiblem syndrom,1
"m. scheuermann, ed 2004",1
"pancolitis ulcerosa, ed 05/2013",1
"spondylolisthesis l4/5, grad i (meyerding)",1
hypothyreose bei z.n. thyreoidektomie 2015,1
chron. lumboischialgie links bei bandscheibenvorfall lwk 4/5 mit,1
lymphödem unterschenkel rechts,1
copd gold-stadium 1,1
"obstruktives schlafapnoesyndrom, cpap-versorgung",1
"colitis ulcerosa, ed 10/2018",1
blasenspeicherstörung im rahmen von erhöhten restharnmengen,1
z.n. mehrfachen operationen im segment l5/s1,1
trigeminusneuralgie v2 links,1
hypothyreose bei z.n. thyreoidektomie 2005,1
"rheumatoide arthritis, rf negativ, acpa hoch positiv, ed 2017",1
beginnende pangonarthrose,1
hallux rigisdus bds.,1
belastungsabhängige kniebeschwerden bds.,1
polyneuropathie i.r. einer,1
igm-kappa-gammopathie,1
chronisches schmerzsyndrom nach symphysensprengung,1
sakrale schmerzen unklarer genese,1
kopfschmerz vom spannungstyp,1
"z.n. mammakarzinom, op mastektomie rechts, chemotherapie 2020",1
- dystal-symetrische polyneuropathie,1
covid-19-impfstoff,1
urothelkarzinom des rechten harnleiters 08/2018,1
niereninsuffizienz,1
z.n. reaktiver arthritis,1
sensomotorische axonale polyneuropathie unklarer ätiologie (em 1990),1
beginnender coxarthrose,1
bursitis trochanterica mit tendopathie des m. tensor fasciae latae bds.,1
v.a. kälteagglutinin-erkrankung,1
- nach infektion mit mycoplasma pneumoniae,1
"diarrhoe, verdauungsstörung",1
"gelenkbeteiligung, schwerpunktmäßig hände",1
koronarherzkrankheit,1
diffuse abdominale beschwerden,1
"diabetes mellitus, typ ii",1
z.n. myokardinfarkt 2012,1
failed-back-surgery-syndrom,1
wirbelsäle syndrom,1
coxarthrose beidseits,1
essentielle thrombozythämie jak 2-v617f-mutation,1
chronische spannungskopfschmerzen,1
assoziation mit cluster kopfschmerzen,1
myofasziales schmerzsyndrom der schlulter- und nacken,1
rez. polychondritis,1
"diabetes mellitus typ ii, steroidinduziert",1
nebenniereninsuffizienz,1
infektgetriggertes asthma bronchiale,1
"sjögren-syndrom ohne relevante organbeteiligung, ed 07/2020",1
polyarthragien,1
hypothyreose bei z.n. hashimoto thyreoiditis,1
sigmadivertikulose,1
"morbus crohn, ed 2005",1
pyoderma gangrenosum li. vorfuß medial,1
neuralgie der flanken/ rücken ed 7/19,1
"z. n. not-op wegen darmperforation, sepsis n. gyn. eingriff 12/2018, narbenherniotomie-op 5/2019",1
chron. abdominelle schmerzen und flankenschmerzen bds.,1
z. n. dünndarmsegmentresektion 12/2018,1
psoriasis-arthropathie,1
-arthritis mehrere lokalisationen,1
hypothyreose nach subtotaler thyreoidektomie,1
chronische müdigkeitssyndrom,1
"fibromyalgie, ed 2011",1
periodische beinbewegungen,1
v.a. nahrungsmittelunverträglichkeit,1
"sensible und axonal betonte polyneuropathie, ed 8/2013",1
zervikobrachial syndrom links,1
chronische niereninsuffizienz stadium ii,1
"paroxysmales vorhofflimmern, ed 7/2016, antikoagulantientherapie",1
chronischer schmerz der rechten bein,1
paroxismales vorhofflimmern mit oak,1
kopfschmerz-symptomatik,1
steatosis hepatis,1
nach traumatischer hwk 6/7 fraktur,1
intermittier. belastungsabh. schmerz im interdigitalraum i/ii li fuß,1
episodischer spannungskopfschmerz,1
bewegungsabhängige knieschmerzen links,1
chron hws-syndrom mit cervicobrachialgie links bei bsp c 5/6 und foramenstenose c 5/6 links,1
chron. lumboischialgie links bei degenerativen l ws-veränderungen,1
ausgeprägte bws-/lws-skoliose,1
rosazea grad ii,1
tennisellbogen rechts,1
"morbus crohn, ed 07/2011",1
"hla b27 pos. m. crohn assozierte spondylarthrop.,ed 2002",1
z.n. iridozyklitis 2002/2008,1
lumbalsyndrom bei spondylarthrose der lws,1
schultersteife li. bei tendinitis calcarea,1
brennende schmerzen in den beinen,1
atypischer gesichtsschmerz links,1
gonarthrose bds.,1
impingementsyndrom li. schulter,1
"z.n. mama ca rechts, ed 4/2016",1
hämochromatose,1
colitis ulcerosa ed 2010,1
tinniutus aurium,1
"chronisch-rezidivierende rückenschmerzen, hla-27 negativ",1
schultersteife rechts,1
"thorakale beschwerden, am ehesten muskuloskelettal",1
z.n. subarachnoidalblutung hunt & hess i mit hämatocephalus internus bei,1
ruptur eines aneurysmas der a. pericallosa rechst am 26.01.2015,1
rez. coxalgien bds. bei dysplasiecoxarthrose,1
rez. cervikalgien bei paravertebralen muskelhartspann,1
rez. fußschmerzen bds. bei leichtem senk-spreizfuß bds.,1
"rheumatoide arthritis, ed 06/2013, rheumafaktor negativ,ccp-positiv",1
reizdarm syndrom,1
"anti-ccp-ak, rheumafaktor positive rheumatoide arthritis, ed 1993",1
z.n. papillitis links 01/2017,1
würgereiz und brechneigung,1
chron. rez. lumbalsyndrom,1
zervikobrachiasyndrom,1
lumboischialgien bei kleinem bandscheibenvorfall lwk 4/5.,1
cervikalsyndrom,1
hws-syndrom bei hws-fehlhaltung und bandscheibenprotrusio c5/6,1
spinalkanalstenose und osteophyten 6/2008,1
"chron. obstr. lungenerkrankung, schwergrad 3",1
lungenemphysem,1
ncpap-behandeltes schlafapnoesyndrom,1
zustand nach nikotinabusus,1
hypothyreose bei z.n. partialer thyreoidektomie 1993,1
schmerzen hws-bereich mit schmerzausstrahlung in beide arme,1
"follikuläres lymphom grad i/ii linke axilla, ed 02/2018",1
hüfteschmerzen li.,1
hypothyreose bei thyreoiditis hashimoto,1
gastritis typ c,1
zervikobrachiales schmerzsyndrom,1
veränderungen der wirbelsäule,1
hand- und fingergelenksarthrose,1
v.a. triggerung i.r. einer small fibre-neuropathie mit,1
generalisierte psoriasis vulgaris,1
* lumboischialgien re. bei osteochondrose und spondylarhtrose l5/s1,1
* impingementsyndrom re. schulter,1
* knieschmerzen rechtsbetont,1
* latente hypothyreose unter substitution,1
myofasziales schmerzsyndrom im schulter-nacken-bereich,1
trigeminusneuralgie des 3.astes rechts,1
"lipödem, stadium ii",1
"lymphödem der oberen und unteren extremitäten, stadium ii",1
"adipositas, grad iii",1
z.n. lumbalen bandscheidenvorfall lwk 5/swk 1 linksseitig mit persistierender gefühlstörung und asr-verlust aus dem jahr 2013,1
"raynaud und calcinosis cutis der finger und knie mit i73.0,",1
fingerkuppennekrosen,1
zervikobrachialsyndrom re.,1
koxarthrose rechtsbetont,1
linkskonvexe skoliose,1
unterbauchschmerzen links,1
"lupus erythematodes, ed 2012",1
zervikobrachialsyndrom links,1
schwindel und druck am linken ohr im rahmen des morbus meniere,1
funktionelle dyspepsie,1
reizdarmsyndrom ohne diarrhoe,1
"hypothyreose bei z.n. thyreoidektomie, 6/2016",1
1/2014,1
"initiale beinschwäche bds., gebessert bis auf leichte schwäche links",1
primäre thrombophilie,1
"chronisches ganzkörperschmerzsyndrom, vorwiegend linksseitig",1
"morbus crohn mit befall des ileum, ed 1974",1
"regred. knochenmarköd. dist. tibia bds., rechtsseitig führend (04/2017)",1
chronische anämie mit rezidivierenden eiseninfusion,1
kokzygodynie,1
chron. rezidivierende harnwegsinfekte,1
zervikaler bandscheibenschaden mit radikulopathie l 5/6,1
lumboischialgie rechtsbetont,1
z.n. ductales in situ-carcinom re. mamma,1
"fibromyalgie, ed 2013",1
stark- bis massivgradiger lipohyperthrophie von oberschenkeltyp,1
lipödem der arme bei,1
stark- bis massivgradiger lipohyperthrophie von oberarmtyp,1
"chronische, migräneartige kopfschmerzen",1
l 5 dermatom rechts,1
"pseudoradikuläres, lumbales schmerzsyndrom",1
