term,document_count,percent
appendektomie nierenlager,108,18.2
habe gefühl,107,18.1
tinnitus,107,18.1
ruhe,107,18.1
bestehe,107,18.1
zehn,106,17.9
sitzen,106,17.9
schmerzcharakter,105,17.7
gelegentlich mutter,105,17.7
ödeme orient,105,17.7
besserung,105,17.7
intermittierenden,105,17.7
diabetes,105,17.7
bauchdecke,105,17.7
geformt normal,105,17.7
gynäkologische geburt,104,17.6
verspannung,104,17.6
aurium,104,17.6
tinnitus aurium,104,17.6
kalte hände,104,17.6
verschlechtert,103,17.4
normal tagestrinkmenge,103,17.4
stechenden,103,17.4
zehn jahren,102,17.2
würde,102,17.2
psychischen,101,17.1
diagnostiziert,101,17.1
tonsillektomie,101,17.1
wochen,100,16.9
mellitus,99,16.7
tage,99,16.7
belag pulse,99,16.7
risikofaktoren arterielle,98,16.6
risikofaktoren durchschlafstörungen,98,16.6
füße energieniveau,97,16.4
anhaltende,97,16.4
diabetes mellitus,97,16.4
adipös,97,16.4
erschöpfung,97,16.4
nieren schwäche,97,16.4
adipös druck,97,16.4
gehen,96,16.2
erkrankung,96,16.2
weitere,96,16.2
ausgeprägten,95,16.0
schmerz,95,16.0
bauchdecke adipös,95,16.0
weich bauchdecke,95,16.0
nässe,95,16.0
fünf,93,15.7
hände füße,92,15.5
bestehende,91,15.4
unterschiedlicher,90,15.2
nachts,90,15.2
gewichtszunahme,90,15.2
kurz,90,15.2
vermehrte,90,15.2
alkoholkonsum vater,90,15.2
begleitet,89,15.0
schlaganfall,89,15.0
zunehmende,88,14.9
wenig durst,88,14.9
schulter verspannung,88,14.9
bläulich,87,14.7
zwei jahren,87,14.7
beeinträchtigt,86,14.5
regelmäßig,86,14.5
nässe blutstau,86,14.5
dorsalgien,86,14.5
schmerzqualität,86,14.5
somatischen,85,14.4
schmerzen seien,85,14.4
kraft habe,85,14.4
schlüpfrig,85,14.4
leide jahren,85,14.4
übelkeit,84,14.2
fast,84,14.2
leichte,83,14.0
reizdarmsyndrom,82,13.9
berentet aufnahmebefund,82,13.9
nichtorganische,81,13.7
oberschenkel,81,13.7
gedunsen,81,13.7
verneint nikotin,81,13.7
